Season,TeamID,FGMR,FGAR,FGMR3,FGAR3,FTMR,FTAR,ORR,DRR,AstR,TOR,StlR,BlkR,PFR,PIE,FG_PCT,TURNOVER_RATE,OFF_REB_PCT,FT_RATE,4FACTOR,OFF_EFF,DEF_EFF,ASSIST_RATIO,DEF_REB_PCT,FT_PCT,WINPCT
2011,1228,1.187954006,1.005628195,1.3596277943,0.9835156881,0.9682780263,0.9537062395,0.9986006571,1.221300173,1.4584260119,1.3263228369,1.2252920912,2.3735882485,1.1042027096,0.5801448898,0.5336009097,0.1676382125,0.3162719792,0.2930354981,0.3625596375,1.1252543666,1.0341463138,0.1786105566,0.6839371401,0.7331188272,0.59375
2011,1268,1.2284942229,1.0050011908,0.914100774,0.7224893484,1.4630308804,1.4618857602,1.1869335668,1.2124672977,1.446520329,0.9842156603,1.7482653414,2.1963934072,0.8740843431,0.6208687809,0.5099271744,0.1623348819,0.3532291929,0.3979739558,0.3748965222,1.1256152832,0.9937202905,0.1658958011,0.6853007558,0.6742320574,0.5757575758
2011,1338,1.2240002627,1.0280148176,1.3515867046,0.95800443,1.7055787033,1.6153789633,1.9286127167,1.3866704654,1.6294533566,1.2235945181,1.4112583377,1.1601272054,0.9146413062,0.6498503483,0.5264929199,0.1503790999,0.4220127185,0.447515794,0.3997218557,1.2254577756,1.0096759413,0.1811091162,0.7152360427,0.66652172,0.84375
2011,1400,1.2250457277,1.01526084,1.8439693817,1.0949364589,1.5656920299,1.57210765,1.42802808,1.260202207,1.8800735094,0.9571766398,1.2326383934,2.3037189091,0.8372660077,0.6912147849,0.5050526938,0.1460113419,0.3814792375,0.4394552349,0.3807380457,1.1586970258,0.9531645674,0.1417254034,0.7013060704,0.6511821294,0.7941176471
2011,1104,1.2573202176,1.0633976134,0.93468012,0.9000630057,1.3156996393,1.1103211106,1.1443602263,1.153794615,1.4525010285,0.9812613197,2.3934004074,1.8427458753,1.1823134874,0.6193008656,0.4777107273,0.1820437188,0.3734605733,0.3318961817,0.3610717625,1.063009561,0.9498373945,0.1350953167,0.6647135719,0.7193054052,0.65625
2011,1110,1.0695328308,1.0001730747,1.1929515135,1.2206776712,1.1660229603,1.1317727023,1.294857364,1.1368997257,1.354364678,1.1446572985,0.9829529154,1.7946379943,0.9915903388,0.5498396008,0.5078831858,0.1565424611,0.2938497294,0.3807694609,0.3581742546,1.1052521396,1.0652632592,0.1625739031,0.7438481365,0.7277630791,0.7096774194
2011,1111,0.93355768,0.9582114525,1.2556301076,1.1201704916,1.7019227805,1.5631196917,1.0895375135,0.9964323852,0.7694657772,1.0781767266,1.3443108151,1.7937817127,0.9391189023,0.471612541,0.5069638996,0.1617266663,0.2944351329,0.40658646,0.363092222,1.1026083457,1.1344877314,0.1143034588,0.6893385871,0.7122824087,0.4827586207
2011,1114,1.0211499685,1.0538780197,1.7568541435,1.0074763495,1.2410768443,1.1924998749,1.1127922362,0.9308815118,1.0219248831,0.9146864207,1.9307025837,0.9528574262,1.0677758899,0.487223367,0.4791560361,0.1557842198,0.2934205541,0.4332023439,0.3542729318,1.0738655746,1.0909446802,0.1286341674,0.680310844,0.6841147551,0.5151515152
2011,1122,1.1055145096,1.0273224035,1.1738878945,0.8804725167,1.376097273,1.3397312913,1.1562856589,1.0173257164,1.1250611439,0.9173012028,1.38734251,1.7198733971,0.951223073,0.5439598446,0.4966379907,0.1760413424,0.3440847773,0.4136057913,0.373523356,1.0852275534,1.027136589,0.1435103466,0.648671158,0.6677006373,0.5806451613
2011,1124,1.1320101899,0.9845226963,0.9510320892,0.8805067035,1.6500679315,1.3672921058,1.362986902,1.2379327142,1.0456741677,1.123863965,1.1174806135,2.4858204555,0.9233677594,0.5791062248,0.5179852981,0.2015742618,0.3658741256,0.4501940371,0.3982916154,1.0967249386,1.0180075691,0.1289700605,0.6943481295,0.6899762857,0.5666666667
2011,1130,1.0007260801,0.954461154,1.6225745353,1.2867473474,1.3516466608,1.2274176746,0.9606969375,1.0712904923,1.2607738767,1.1843232695,1.3877473348,1.0689025946,0.9504212154,0.5370028279,0.5411421054,0.1480890088,0.3010984624,0.3193130556,0.3615957452,1.1725266996,1.1289160524,0.1709216422,0.6693967416,0.7122366869,0.625
2011,1135,0.8996758875,0.9227579332,1.3796888776,1.1765886579,1.3621877307,1.223775129,0.7913277295,1.043421189,1.0747922943,1.1968591761,1.0531124791,1.0884843124,0.9495706581,0.4788983974,0.5101452633,0.1594053508,0.2206365508,0.3743442606,0.3441883923,1.0751803638,1.1228035689,0.1533014458,0.7161972898,0.7432266916,0.3703703704
2011,1140,1.1683643846,1.0495565591,1.7341305621,1.3605859379,1.8369346427,1.4177197426,1.2112360665,1.1200792897,1.3256747477,0.8264114971,1.6187499109,1.7963964109,0.9117873758,0.6225241377,0.5196402601,0.1343672587,0.3108472837,0.3938214877,0.3626905986,1.1915101438,1.0009080151,0.1458388703,0.7133307147,0.7618479351,0.8787878788
2011,1141,1.0008949637,1.1802338844,1.3598434146,1.4582701032,0.8001658231,0.8035067072,1.4369157646,0.8772919146,0.8727678186,0.9847307273,1.9337380922,1.5445975708,1.2696830446,0.3530392595,0.4354163797,0.1771172596,0.317488088,0.3404719326,0.3330142743,0.9526377471,1.0427282353,0.1021671875,0.6989048159,0.6199534918,0.3
2011,1145,1.1124758166,1.0566014399,1.7171750941,1.3208363281,0.797191299,0.7505993432,1.0452735787,1.0285024536,1.2532002349,1.0967696636,1.3539230818,2.3204503655,1.2301883673,0.5175127842,0.4929739854,0.1736888323,0.3416352412,0.2811973548,0.3511184537,1.0723256056,1.0557969379,0.1599111957,0.6464183456,0.7013873119,0.5
2011,1155,1.1439312277,1.0228099694,1.4459362486,1.1755960941,1.4335385037,1.3666042128,1.1589513926,1.1431099324,1.22250642,0.9011582222,1.4342664382,2.7426900531,1.0108090738,0.5971395432,0.5118432479,0.1756028884,0.3418316097,0.4019523176,0.3772971909,1.098406905,0.9773734872,0.1443891754,0.6795922976,0.6941622261,0.65625
2011,1156,1.1143126693,1.0424845979,1.5880145411,1.2631881908,1.3275918819,1.1868475763,1.0288728439,1.0479642012,0.9711332243,0.9616040234,2.308332348,1.0735059171,1.1469067811,0.5512989024,0.5061704967,0.1551505978,0.3053776023,0.4296413801,0.3667775756,1.1286049984,1.0266526383,0.1324709443,0.665556012,0.7347927281,0.75
2011,1160,1.0887369394,1.0164543921,1.0791414805,0.9222577155,1.3452333774,1.1725068053,1.0532548712,1.1567392832,1.0585344824,0.9320177757,1.564764981,1.1399470721,0.9877222342,0.5480521587,0.5230654232,0.1483164653,0.3413463497,0.4055706247,0.3754101492,1.1908683478,1.109765971,0.1414553401,0.6683952158,0.7793063587,0.6060606061
2011,1163,1.0914500806,1.0003052888,1.1078410576,1.0251032376,1.7391297884,1.4853623707,1.159183127,1.1981102975,1.1597384351,1.0131003253,1.2283591003,2.1580721756,0.8769224797,0.5853115799,0.4850506443,0.1449212268,0.3872234955,0.3537527199,0.3607581715,1.1481729808,1.0404209221,0.137687071,0.6535176476,0.7517610023,0.7428571429
2011,1165,1.0079709632,1.0962504109,2.1205361576,1.5245341747,0.8717035272,0.878708513,1.2630520375,0.8625437842,1.1584966232,0.9937601767,1.4313829446,1.0471377577,1.278158809,0.4467027207,0.4977760198,0.1580921476,0.2930985624,0.3139032295,0.3443386418,1.0814518972,1.1137171029,0.1592491048,0.6817535163,0.7069187941,0.3571428571
2011,1166,0.997521841,0.9310121701,1.427945616,1.2228652919,2.425258958,1.5749018529,1.8781332246,1.2173741652,1.2017734378,1.4953687997,0.9317018573,1.5583714354,0.9296693944,0.5528673953,0.5215392323,0.1667301578,0.3032030635,0.3571032446,0.3645043318,1.1144724456,1.0605086956,0.1608971881,0.7331599498,0.7207297005,0.5757575758
