season,season_elo,team_id
2014,1330.4269048646547,1101
2015,1215.474960442694,1101
2016,1222.1731126590666,1101
2017,1238.5375240934923,1101
2018,1295.4188369584153,1101
1985,1410.2588728050705,1102
1986,1345.323257372472,1102
1987,1362.4181725964454,1102
1988,1312.227692563059,1102
1989,1384.3275993184532,1102
1990,1392.9902732225994,1102
1991,1340.7115302624682,1102
1992,1300.7305641119203,1102
1993,1299.6074115437295,1102
1994,1277.865850623265,1102
1995,1300.597608976888,1102
1996,1250.8351850481727,1102
1997,1275.329690357399,1102
1998,1299.8637335628475,1102
1999,1340.5375892787827,1102
2000,1321.3489289582928,1102
2001,1330.370942653873,1102
2002,1365.804138070211,1102
2003,1445.1788908816761,1102
2004,1642.2339568234056,1102
2005,1681.0152629088964,1102
2006,1741.1958346675247,1102
2007,1795.9071782383405,1102
2008,1669.619934940055,1102
2009,1499.284070812517,1102
2010,1422.5080523601025,1102
2011,1503.5751295606776,1102
2012,1484.295023318368,1102
2013,1565.6098612154285,1102
2014,1474.3147658227592,1102
2015,1497.9463559758715,1102
2016,1452.4037318696367,1102
2017,1434.205674780589,1102
2018,1412.7329817095806,1102
1985,1447.045001992491,1103
1986,1533.5089148959635,1103
1987,1569.6266503649406,1103
1988,1612.4277180315314,1103
1989,1660.7867050144512,1103
1990,1571.3498536183,1103
1991,1498.0180704966426,1103
1992,1467.2616076635136,1103
1993,1376.5735144846685,1103
1994,1326.3494144300748,1103
1995,1309.6656508813467,1103
1996,1249.0563478370352,1103
1997,1334.8468283457998,1103
1998,1514.4690455042598,1103
1999,1591.5230711877782,1103
2000,1595.2601687698104,1103
2001,1522.8994054680259,1103
2002,1430.2318482543797,1103
2003,1488.833124402512,1103
2004,1492.707450911524,1103
2005,1593.4041772879036,1103
2006,1674.5462695157876,1103
2007,1759.9634225287184,1103
2008,1717.3366976864427,1103
2009,1694.8771102852586,1103
2010,1674.4469419624102,1103
2011,1658.2735527795276,1103
2012,1690.7205005004814,1103
2013,1755.6241041118865,1103
2014,1661.2492096511282,1103
2015,1623.9819927484875,1103
2016,1673.0835453085967,1103
2017,1684.5085966096099,1103
2018,1504.9127733814796,1103
1985,1622.1842605906475,1104
1986,1701.3746211178081,1104
1987,1812.2182351875522,1104
1988,1628.4484615204165,1104
1989,1718.0279459829876,1104
1990,1776.8758096866673,1104
1991,1789.6888661874648,1104
1992,1778.9552824371385,1104
1993,1734.4501335923003,1104
1994,1731.3413785831158,1104
1995,1786.702101702175,1104
1996,1707.687235770179,1104
1997,1681.9168813553035,1104
1998,1649.3203208456964,1104
1999,1650.6767320274964,1104
2000,1615.8300365145353,1104
2001,1722.9925215088354,1104
2002,1819.5278697055473,1104
2003,1800.856177439674,1104
2004,1820.323333626339,1104
2005,1895.5213321041701,1104
2006,1824.2415753416628,1104
2007,1773.000207569534,1104
2008,1743.1483575327456,1104
2009,1735.8899337632286,1104
2010,1734.7826488823762,1104
2011,1774.6791259330344,1104
2012,1819.893813686652,1104
2013,1809.510230979764,1104
2014,1715.4970971186765,1104
2015,1735.0401954832255,1104
2016,1740.4388563565178,1104
2017,1762.1789526900316,1104
2018,1784.546478928018,1104
2000,1468.3869159280898,1105
2001,1433.9137688436585,1105
2002,1446.6032582137923,1105
2003,1288.169248582577,1105
2004,1250.6650517536013,1105
2005,1325.6001985260473,1105
2006,1314.0858150671734,1105
2007,1207.5215241015853,1105
2008,1230.0244980646148,1105
2009,1160.6587286622648,1105
2010,1147.8746931884227,1105
2011,1177.4256785004927,1105
2012,1104.7399504648167,1105
2013,1100.412855702909,1105
2014,1155.2870205538836,1105
2015,1133.4379784257094,1105
2016,1138.4377268589199,1105
2017,1023.7278632952431,1105
2018,954.1365791339992,1105
1985,1459.9143051539356,1106
1986,1408.0565898031095,1106
1987,1390.552634599726,1106
1988,1309.4200243396472,1106
1989,1354.5066286162526,1106
1990,1373.1116157732351,1106
1991,1425.8567657122105,1106
1992,1389.5698857197665,1106
1993,1397.188349572668,1106
1994,1449.148689992469,1106
1995,1378.7841094659693,1106
1996,1226.883884336619,1106
1997,1206.0967591342776,1106
1998,1229.1913712985972,1106
1999,1255.771305342217,1106
2000,1287.8152367564371,1106
2001,1434.8545327624945,1106
2002,1421.1051971949341,1106
2003,1360.7916855105052,1106
2004,1358.88139599303,1106
2005,1324.1461565334573,1106
2006,1282.8167205577313,1106
2007,1219.2516527969203,1106
2008,1345.3444760560576,1106
2009,1416.1181097469903,1106
2010,1367.845090650677,1106
2011,1328.2563889156927,1106
2012,1240.4823808386618,1106
2013,1152.3134048730597,1106
2014,1216.0000916157148,1106
2015,1282.894666346286,1106
2016,1250.8712754372518,1106
2017,1133.4769600538207,1106
2018,1107.1679113901905,1106
2000,1356.8310485921202,1107
2001,1197.5186654747306,1107
2002,1166.8693383175435,1107
2003,1117.1697819511623,1107
2004,1092.32063987806,1107
2005,1256.2040559113009,1107
2006,1415.8238346599746,1107
2007,1496.4235346682567,1107
2008,1435.0174955684,1107
2009,1364.9141204792895,1107
2010,1267.6355722715807,1107
2011,1337.3054006315501,1107
2012,1403.5079874692665,1107
2013,1467.7563976666852,1107
2014,1464.3388461542304,1107
2015,1522.4242242272487,1107
2016,1562.9570894500641,1107
2017,1542.4578348959928,1107
2018,1527.0704671809196,1107
1985,1595.5632179902932,1108
1986,1580.7737850035826,1108
1987,1387.466451801788,1108
1988,1355.1776607472757,1108
1989,1253.522677461462,1108
1990,1251.0695123419332,1108
1991,1258.9447285080055,1108
1992,1315.9762925094358,1108
1993,1297.6066068671203,1108
1994,1216.856581957284,1108
1995,1179.815636601209,1108
1996,1213.7910334807248,1108
1997,1269.3555955937704,1108
1998,1262.919541513934,1108
1999,1453.0917033239334,1108
2000,1479.9350584830759,1108
2001,1413.7342804264222,1108
2002,1470.5980823015707,1108
2003,1363.1713108630784,1108
2004,1248.840626518545,1108
2005,1143.3379801412964,1108
2006,1139.4466148266836,1108
2007,1139.3174772973227,1108
2008,1092.7645224458374,1108
2009,1035.9658400861351,1108
2010,951.7256485195825,1108
2011,957.2503503430038,1108
2012,1028.2747663274527,1108
2013,1061.0672865972829,1108
2014,1097.7037210003396,1108
2015,1041.6804496960374,1108
2016,1135.3875870679947,1108
2017,1241.1139865351129,1108
2018,1153.5122735891205,1108
1985,1244.3629949255042,1109
1986,1224.6105658187819,1109
1987,1230.4053999326752,1109
1988,1244.2056520315705,1109
1989,1261.8256415240996,1109
1990,1295.36540644314,1109
1991,1169.6683119435666,1109
1985,1408.8744198817813,1110
1986,1378.106524827182,1110
1987,1385.7478057801907,1110
1988,1429.5323815685865,1110
1989,1462.5493354418031,1110
1990,1534.7262226673654,1110
1991,1475.1687184992202,1110
1992,1452.3140653419812,1110
1993,1456.7647975134012,1110
1994,1372.8878071632678,1110
1995,1375.7160862902108,1110
1996,1404.0910277608323,1110
1997,1396.997182976605,1110
1998,1372.3767566432311,1110
1999,1307.2306213219124,1110
2000,1347.81339529922,1110
2001,1308.3563485749792,1110
2002,1376.5079459641724,1110
2003,1423.5446646187445,1110
2004,1443.043767291547,1110
2005,1427.5364154692538,1110
2006,1366.398326949093,1110
2007,1398.9792964704538,1110
2008,1467.8607583935723,1110
2009,1561.3681179948912,1110
2010,1383.4908218370447,1110
2011,1439.9637966221585,1110
2012,1471.548358518822,1110
2013,1340.1228070936709,1110
2014,1483.9063241424572,1110
2015,1464.7245902442965,1110
2016,1363.6088365768394,1110
2017,1282.8894060042253,1110
2018,1223.3992136374209,1110
1985,1466.1395890549538,1111
1986,1449.7244274819036,1111
1987,1350.0154539590826,1111
1988,1397.6445139278887,1111
1989,1496.6498512370056,1111
1990,1533.343794244944,1111
1991,1494.1400810200664,1111
1992,1484.2672335609607,1111
1993,1444.176036819487,1111
1994,1469.8114417650472,1111
1995,1374.1689639377844,1111
1996,1297.5403397629475,1111
1997,1407.1911070577514,1111
1998,1482.2984796321703,1111
1999,1538.1156853660545,1111
2000,1613.0626580455507,1111
2001,1387.9161638034702,1111
2002,1327.5880460081412,1111
2003,1424.8515725336779,1111
2004,1362.361548865964,1111
2005,1450.8875087278236,1111
2006,1436.0680956559875,1111
2007,1599.7175400317872,1111
2008,1547.6468394440508,1111
2009,1454.308327532274,1111
2010,1550.2807826051996,1111
2011,1490.7186982470205,1111
2012,1414.7752832572662,1111
2013,1399.041591275003,1111
