Season,TeamID,FGM,FGA,FGM3,FGA3,FTM,FTA,OR,DR,Ast,TO,Stl,Blk,PF,PIE,FG_PCT,TURNOVER_RATE,OFF_REB_PCT,FT_RATE,4FACTOR,OFF_EFF,DEF_EFF,ASSIST_RATIO,DEF_REB_PCT,FT_PCT,WINPCT,Seed,Elo
2003,1421,24.3793103448,56.7931034483,6.4827586207,18,15.9655172414,20.9310344828,12.275862069,23.1724137931,13.0344827586,16.2068965517,7.0689655172,3,19.1034482759,0.440671504,0.4898004573,0.1969649879,0.3471837896,0.3772143762,0.3711803442,1.0641943689,1.1669259429,0.1359849414,0.625618817,0.7661421289,0.4482758621,16,1324.0609354
2003,1112,30.3214285714,65.7142857143,7.0357142857,20.0714285714,17.5357142857,25,15.1785714286,27.6428571429,17.6428571429,14.7857142857,8.4642857143,4.2142857143,17.75,0.6546927054,0.5176315318,0.1609530464,0.3940268982,0.387965472,0.3842910748,1.165755457,0.9629439489,0.1607189721,0.6805599043,0.7011537803,0.8928571429,1,2039.16920377
2003,1113,27.2068965517,56.8965517241,4,12.5862068966,17.5517241379,26.2068965517,13.6896551724,23.3103448276,15.5517241379,14,5.2068965517,4.2413793103,19.4137931034,0.5851598693,0.5173341529,0.1700360916,0.3980796391,0.4685611741,0.399342788,1.14762601,1.0429915962,0.1583578015,0.6839496397,0.6756674741,0.6206896552,10,1775.77778819
2003,1141,26.6206896552,52.6896551724,6.8275862069,17.9310344828,19.275862069,25.1724137931,10.5862068966,23.275862069,15.6206896552,18.2413793103,7.1034482759,4,20.9655172414,0.5692913953,0.5728354732,0.2235754107,0.3591772695,0.4818363979,0.4291389555,1.155035988,1.0673162778,0.1582674916,0.6623682538,0.7627405842,0.7931034483,11,1647.43593904
2003,1143,27.3448275862,58.724137931,6.4137931034,17.0344827586,13.3793103448,19.5172413793,11.2413793103,24.3793103448,16,14.1724137931,6.5517241379,2.7931034483,17.1034482759,0.5561301006,0.5240976104,0.1736599111,0.3223099383,0.3483106987,0.3697626144,1.1067374477,1.0373438751,0.162401481,0.6920860001,0.6886317368,0.724137931,8,1853.23697916
2003,1163,29.5333333333,62.2,6.0666666667,15.7,14.9,22.1,14.7666666667,27.9,15.6333333333,15.8,5.9333333333,7.7333333333,18.4,0.5908284506,0.5242372118,0.1821666821,0.4039771571,0.3632743779,0.3905231434,1.1416130644,1.0225339577,0.148591202,0.6497984033,0.6698859424,0.7,5,1885.36445548
2003,1181,27.3666666667,60.3333333333,7.3333333333,20.6,19.9,28.0666666667,13.7666666667,23.1,13.8333333333,14.0333333333,8.5,5.1333333333,21.2666666667,0.6048810343,0.5217445885,0.1628272648,0.3751027183,0.4721239179,0.3952437829,1.1772400274,1.0125536856,0.13803034,0.6539788793,0.6954807067,0.8,3,2129.46688242
2003,1211,26.064516129,55.4516129032,7.1612903226,19.064516129,17.7741935484,24.6451612903,11.935483871,25.3225806452,15.7419354839,14.5483870968,6.8064516129,3.5161290323,18.6451612903,0.612120239,0.5361461288,0.1800738602,0.3581110367,0.4607781632,0.4002158484,1.1609893724,1.0263590026,0.1617170426,0.7156608688,0.7179183621,0.7419354839,9,1832.11686745
2003,1228,27.1,55.8,7.4333333333,20.1666666667,13.8,19.1,9.7333333333,25.4,18.2666666667,13.1666666667,7,3.1,19.1333333333,0.6655536184,0.5518880513,0.1699557842,0.3079241168,0.3467728422,0.3768449163,1.1677436641,0.9506171585,0.1902205348,0.698781291,0.719997642,0.8,4,1987.58146775
2003,1242,30.2333333333,62.3,4.8,14.1333333333,16.0666666667,24.1333333333,14.3,26.9,16.7333333333,14.9,10.1333333333,4.9,16.7,0.6548681265,0.5254612449,0.1696819474,0.3828504584,0.3896759041,0.3876264621,1.1569014879,0.9431902013,0.1590789294,0.7006089466,0.6616312643,0.7666666667,2,2000.18055198
2003,1266,27.2142857143,56.25,5.7857142857,15.25,18.1785714286,23.6071428571,13.1071428571,24.0714285714,16.3214285714,13.5714285714,6,3.6428571429,18.6428571429,0.632611337,0.5367233755,0.1683198012,0.4159932536,0.4347808054,0.405185072,1.21616698,1.0460210484,0.1673143186,0.6661280104,0.778502735,0.8214285714,3,1864.80637072
2003,1281,26.1612903226,59.1935483871,7.4838709677,20.9677419355,11.9677419355,18.1612903226,13.4838709677,25.9032258065,13.7419354839,13.6129032258,5.7096774194,4.3225806452,16.8709677419,0.5578104261,0.5072784719,0.1681400587,0.3624714335,0.3107482945,0.3640529343,1.1030556403,1.0237221294,0.1443593642,0.6683146085,0.6501396301,0.6774193548,6,1811.76940758
2003,1323,27.2258064516,60.6774193548,8.2903225806,21.7741935484,17.3548387097,22.8387096774,11.3870967742,26.8709677419,16.9032258065,12.7741935484,7.4516129032,5.6451612903,16.2258064516,0.5923603057,0.5194162502,0.1539455928,0.3097366807,0.3817776773,0.365466886,1.160899429,1.0316627922,0.1675725863,0.6693745133,0.7413604533,0.7096774194,5,1819.64533879
2003,1328,25.2666666667,56.5333333333,7.4666666667,18.9666666667,13.1666666667,18.6,12.1333333333,24.9666666667,14.1666666667,11.8,6.9333333333,3.7666666667,18.6,0.604965152,0.5121235705,0.1550783164,0.3472843435,0.3320303233,0.3628804245,1.1417736032,0.9705625489,0.153605818,0.7098535266,0.7143507336,0.8,1,1969.35426472
2003,1390,25.6451612903,58.0322580645,6.935483871,19.3870967742,14.0322580645,20.7741935484,13.7419354839,25.1290322581,14.6451612903,14.3225806452,5.5161290323,3.3548387097,18.5161290323,0.5717891391,0.5058352967,0.1754221554,0.3841151098,0.364921455,0.3777508978,1.1045754024,1.0261120978,0.1516297966,0.6949215837,0.6715156071,0.7419354839,4,1925.01490395
2003,1409,26.3870967742,57.0322580645,6.6451612903,18.3225806452,14.0967741935,19.3870967742,11.1612903226,25.8064516129,14.7741935484,14.3225806452,7.5806451613,5,17.3225806452,0.6195633215,0.5198067489,0.1788876398,0.3283482362,0.345275919,0.3701056446,1.1128612368,0.9864289916,0.1553000073,0.6706030507,0.7296716289,0.7096774194,13,1800.60232135
2003,1458,25.0344827586,53.8965517241,6.2413793103,17.3793103448,14.4137931034,19.4482758621,10.3103448276,22.5517241379,13.3103448276,10.5172413793,6.9655172414,2.8275862069,14.8275862069,0.6264249152,0.5257351431,0.1447717743,0.3210706535,0.3657301811,0.3655606587,1.1740001106,0.9728046767,0.1539769814,0.736008252,0.7318058883,0.7586206897,5,1864.52928724
2003,1120,25.7,54.7,5.6333333333,16.3333333333,13.0666666667,19.7333333333,11.9333333333,22.5666666667,13.4,15.9,8.0333333333,4.9666666667,16.3666666667,0.5864416074,0.5210959599,0.2009449365,0.3699068892,0.3665990265,0.3876458499,1.0792054647,1.0158333534,0.1418211439,0.6476262478,0.6526626912,0.6333333333,10,1722.96675918
2003,1139,24.0689655172,50.6551724138,8.4827586207,21.8620689655,11.9655172414,16.5517241379,7.8275862069,20.3793103448,12.9655172414,10.4137931034,6.3448275862,1.8620689655,16.0689655172,0.592171128,0.5621366227,0.150763061,0.2775708053,0.3329100772,0.3679960869,1.1928421108,1.0510702206,0.1590309014,0.663723913,0.7152246251,0.8275862069,12,1804.47422245
2003,1196,26.935483871,56.5161290323,8.6774193548,22.1290322581,13.3548387097,18.935483871,10.8064516129,24.2580645161,16.4193548387,13.3870967742,7.7741935484,4.0967741935,16.9032258065,0.6084903057,0.5545693698,0.170864854,0.3293873319,0.3413278394,0.3816206037,1.1729495211,1.0023744753,0.1710842151,0.6723855469,0.6967201649,0.7741935484,2,1959.62310183
2003,1231,23.4375,54.9375,7.53125,21.625,16.125,22.625,11.21875,25.625,13.8125,11.5,4.4375,5.34375,18.0625,0.54222249,0.5007231363,0.1509481017,0.3145195183,0.415688554,0.3632834667,1.1241216461,1.0711711156,0.152398924,0.6809345355,0.7046385109,0.625,7,1860.31745038
2003,1246,28.46875,58.40625,5.90625,16.59375,14.6875,20.78125,12.875,24.15625,16.1875,14.0625,7.8125,5.09375,17.375,0.6666840637,0.5375903054,0.1730821731,0.3886131424,0.366832089,0.3910541073,1.1698250845,0.9708747833,0.1635112408,0.6833481378,0.7096552111,0.90625,1,2027.78134828
2003,1257,27.9666666667,60.8333333333,8.4333333333,23.4,17.4666666667,25.1,13.2,25.1,16.6,13.3666666667,7.2,4.7333333333,22.6666666667,0.6330578997,0.5288606008,0.1565050034,0.356053436,0.4189219629,0.3847194728,1.1839403401,0.9883037821,0.1622390854,0.6640372579,0.6909970039,0.8,4,1837.69199695
2003,1268,29.4285714286,63.3571428571,6.75,16.9642857143,15.1785714286,21.5714285714,13.75,26.75,18.8928571429,14.1071428571,10.8928571429,6.6071428571,19,0.6604889463,0.5195925288,0.1629634912,0.3690572983,0.3502325655,0.3749242288,1.1439221118,0.9484017948,0.1772231392,0.6551163898,0.6885938187,0.6785714286,6,1990.76235706
2003,1277,23.0322580645,51.0967741935,4.9032258065,13.3870967742,16.2580645161,22.1290322581,10.6774193548,24.2580645161,13.6129032258,14.5483870968,6.3870967742,3.7096774194,20.0322580645,0.6051597725,0.5015373608,0.1930662116,0.3432157381,0.4451586652,0.3842984446,1.0852866249,0.983171875,0.1513092039,0.7255951034,0.7149091364,0.6129032258,7,1914.00639349
2003,1329,24.6551724138,55.4137931034,4.8620689655,12.9655172414,14.5517241379,22.3448275862,12.3793103448,24.0689655172,12.2413793103,14.6551724138,8.7931034483,5.5862068966,20.1379310345,0.5924264585,0.4876913193,0.1823447331,0.3584923226,0.4102913632,0.37390488,1.0577027709,0.9605793909,0.1304754439,0.6331455747,0.649846916,0.6896551724,6,1817.07282799
2003,1338,26.8666666667,53.5,6.3666666667,17.7666666667,14.5,22.8,11.3,25.3666666667,17.7666666667,15.1,8.0666666667,4.1,17.9666666667,0.7045656672,0.5635493866,0.1917258153,0.3605346421,0.4405171171,0.4115357045,1.1530161898,0.9128225248,0.1834151413,0.7081836604,0.6398411778,0.8666666667,2,1921.06162119
2003,1345,23.75,54.3928571429,5.1071428571,15.5,19.1428571429,25.5,10.3928571429,23.4642857143,12.25,13.8214285714,7.1785714286,2.9285714286,19.8214285714,0.5552096973,0.4813904158,0.1744069309,0.3068626314,0.480267196,0.3695705047,1.0787300192,0.9854855565,0.1316688868,0.6893434571,0.7473583941,0.6428571429,9,1754.82146734
2003,1393,29.2413793103,62.2068965517,5.2413793103,15.8620689655,16.3793103448,23.6206896552,14.3103448276,26.8965517241,14.9655172414,13.6206896552,8.3103448276,7.275862069,16.5862068966,0.6041621036,0.5151514401,0.1604080685,0.3852423772,0.3938729762,0.382292015,1.1592253814,1.0151279875,0.1460590277,0.6307900177,0.6878244394,0.8275862069,3,1851.6506162
2003,1400,28,62.4285714286,5.8571428571,16.7857142857,17,23.7857142857,16.1785714286,26.1428571429,14.5,13.4285714286,6.3928571429,3.8571428571,20.3571428571,0.6198060773,0.4958273946,0.1562383703,0.4230195061,0.3916062572,0.3807353902,1.1739428638,1.0233666217,0.1420443494,0.67088939,0.715642155,0.7857142857,1,1890.3089692
2003,1428,23.1666666667,50.7333333333,7.1666666667,18.7666666667,13.2333333333,18.8,10.1333333333,23.2,13.2,12.7,4.6666666667,3.7666666667,20.1,0.5784666207,0.5285050416,0.1772891239,0.3243824672,0.3892900754,0.3789943024,1.1316393702,1.0186640931,0.1534012598,0.709433508,0.6890242991,0.7666666667,9,1807.60007067
2003,1448,26.1379310345,57.2413793103,6.1034482759,17.724137931,20.0344827586,26.6206896552,14.7586206897,26.9310344828,14.5862068966,15.1034482759,6.4137931034,4.3793103448,18.4827586207,0.6373975588,0.5119722141,0.1789407455,0.4297240999,0.4724993605,0.4063437961,1.1818549616,1.021376064,0.147678916,0.687237,0.7553304296,0.8275862069,2,1936.06686497
