Season,TeamID,Seed,RPI,PIE,FG_PCT,TURNOVER_RATE,OFF_REB_PCT,FT_RATE,4FACTOR,OFF_EFF,DEF_EFF,ASSIST_RATIO,DEF_REB_PCT,FT_PCT,FGM,FGA,FGM3,FGA3,FTM,FTA,OR,DR,Ast,TO,Stl,Blk,PF,WINPCT,Elo
2003,1328,1,3,0.604965152,0.51212357,0.155078316,0.347284344,0.332030323,0.362880424,1.141773603,0.970562549,0.153605818,0.709853527,0.714350734,25.53333333,56.19166667,7.3,18.26666667,13.44166667,19.025,11.45833333,24.8,14.36666667,12.125,6.791666667,3.575,18.225,0.8,1969.354265
2003,1448,2,7,0.637397559,0.511972214,0.178940746,0.4297241,0.47249936,0.406343796,1.181854962,1.021376064,0.147678916,0.687237,0.75533043,26.23563218,57.25287356,6.492816092,18.5316092,18.87643678,25.50287356,14.16954023,26.47988506,14.73563218,15.24712644,6.568965517,4.061781609,18.29885057,0.827586207,1936.066865
2003,1393,3,9,0.604162104,0.51515144,0.160408068,0.385242377,0.393872976,0.382292015,1.159225381,1.015127988,0.146059028,0.630790018,0.687824439,29.56465517,62.4137931,5.958333333,17.11206897,16.05172414,22.83045977,13.72844828,26.63793103,16.30316092,13.56321839,8.251436782,6.44683908,17.20545977,0.827586207,1851.650616
2003,1257,4,11,0.6330579,0.528860601,0.156505003,0.356053436,0.418921963,0.384719473,1.18394034,0.988303782,0.162239085,0.664037258,0.690997004,27.55833333,60.075,8.033333333,22.35833333,16.975,24.04166667,12.93333333,25.05,15.91666667,14.1,7.216666667,4.083333333,21.39166667,0.8,1837.691997
2003,1280,5,24,0.643000955,0.521358704,0.19746725,0.383445541,0.323859618,0.383178345,1.099648351,0.948850069,0.154033136,0.695785439,0.666940571,25.49047619,55.56190476,5.561904762,16.16190476,11.96666667,17.74285714,12.12380952,24.22380952,13.36666667,16.1952381,8.842857143,3.70952381,15.94285714,0.7,1872.47992
2003,1329,6,22,0.592426458,0.487691319,0.182344733,0.358492323,0.410291363,0.37390488,1.057702771,0.960579391,0.130475444,0.633145575,0.649846916,24.59310345,55.38965517,5.148275862,13.96551724,14.78275862,22.9862069,13.20517241,23.36724138,12.43793103,15.59655172,8.718965517,4.865517241,20.4,0.689655172,1817.072828
2003,1386,7,27,0.660722835,0.520827754,0.169611161,0.333818215,0.393495971,0.376521931,1.126721899,0.942509153,0.15327285,0.64762698,0.6735499,23.46926537,53.87856072,7.890554723,21.22038981,14.1994003,20.55772114,11.45577211,23.62218891,14.06746627,13.6101949,7.271364318,4.989505247,18.31334333,0.793103448,1840.296135
2003,1143,8,33,0.556130101,0.52409761,0.173659911,0.322309938,0.348310699,0.369762614,1.106737448,1.037343875,0.162401481,0.692086,0.688631737,26.7044335,57.43513957,6.310344828,17.66666667,13.51231527,19.52545156,10.47619048,24.78817734,16.40394089,14.67816092,6.541871921,2.6863711,17.2364532,0.724137931,1853.236979
2003,1301,9,53,0.541945192,0.53418931,0.185833821,0.3088133,0.387495718,0.380021197,1.130049106,1.062600619,0.158699818,0.681660593,0.778147587,24.26666667,52.74444444,7.611111111,20.78888889,15.72222222,20.94444444,9.6,22.05555556,14.55555556,14.58888889,7.922222222,3,18.27777778,0.6,1818.383163
2003,1120,10,36,0.586441607,0.52109596,0.200944937,0.369906889,0.366599027,0.38764585,1.079205465,1.015833353,0.141821144,0.647626248,0.652662691,25.3754386,55.97192982,5.89122807,17.45438596,13.32807018,20.3122807,12.53859649,22.91052632,13.68421053,15.91754386,8.503508772,4.631578947,17.97017544,0.633333333,1722.966759
