SeedBench,Seed,OrdinalRank,PIE,FG_PCT,TURNOVER_RATE,OFF_REB_PCT,FT_RATE,4FACTOR,OFF_EFF,DEF_EFF,ASSIST_RATIO,DEF_REB_PCT,FT_PCT,WINPCT,result,Season,WTeamID,LTeamID
-0.8999999999999999,-15,-142,0.09336661831267001,0.022899915677244254,-0.01918821663367229,0.014010492375900518,0.03169101216242176,0.01191866241202294,0.08394774987692322,-0.04146556591382522,0.00917346967001631,-0.05233777391944938,0.05144598540179579,0.23768472906403948,1,2003,1112,1436
-0.48,-8,-41,0.042572466390589425,-0.018514596947122874,-0.019120813731117736,0.035915861558864226,-0.072812691211187,-0.01592477358153388,0.004766084581774521,-0.0634150537589373,-0.0009980705642408383,-0.035100964550369707,-0.016764581765995934,0.15092165898617516,1,2003,1112,1211
-0.24,-4,-12,0.06233239974913052,-0.0017847184123103155,0.007007453648704753,0.08429021754726812,0.006187794679867908,0.018824188758686022,0.004856027944074581,-0.06871884334623557,-0.006853614195674457,0.011185390987991872,-0.04020667300482095,0.18317972350230416,1,2003,1112,1323
0.8999999999999999,15,142,-0.09336661831267001,-0.022899915677244254,0.01918821663367229,-0.014010492375900518,-0.03169101216242176,-0.01191866241202294,-0.08394774987692322,0.04146556591382522,-0.00917346967001631,0.05233777391944938,-0.05144598540179579,-0.23768472906403948,0,2003,1112,1436
0.48,8,41,-0.042572466390589425,0.018514596947122874,0.019120813731117736,-0.035915861558864226,0.072812691211187,0.01592477358153388,-0.004766084581774521,0.0634150537589373,0.0009980705642408383,0.035100964550369707,0.016764581765995934,-0.15092165898617516,0,2003,1112,1211
0.24,4,12,-0.06233239974913052,0.0017847184123103155,-0.007007453648704753,-0.08429021754726812,-0.006187794679867908,-0.018824188758686022,-0.004856027944074581,0.06871884334623557,0.006853614195674457,-0.011185390987991872,0.04020667300482095,-0.18317972350230416,0,2003,1112,1323
0.17999999999999994,3,6,-0.012617875883697893,0.01899725249009948,0.006263956774368418,0.031276916001212574,0.07193744660769363,0.026210890381028418,0.03511884185147385,0.06072639467919816,-0.005713964236314983,4.5156626773734665e-05,0.047368575171585214,-0.1724137931034483,1,2003,1113,1272
-0.17999999999999994,-3,-6,0.012617875883697893,-0.01899725249009948,-0.006263956774368418,-0.031276916001212574,-0.07193744660769363,-0.026210890381028418,-0.03511884185147385,-0.06072639467919816,0.005713964236314983,-4.5156626773734665e-05,-0.047368575171585214,0.1724137931034483,0,2003,1113,1272
0.17999999999999994,3,9,-0.07428122729578979,0.00026820554744844127,0.031333775023720895,0.036088673901988444,-0.026896944248700927,0.011123919118002201,-0.04751643394237437,0.07332420002236328,-0.011451705720157579,-7.322678980958841e-07,-0.020887208788325395,-0.1597701149425288,1,2003,1120,1386
0.48,8,29,-0.050955951455315174,0.009123745787276039,0.022004190994482364,-0.05981721072581858,-0.10590033394760257,-0.018697946173773072,-0.10264949687034397,-0.005542710583413379,-0.005857772121215937,-0.039610752149386586,-0.10266773842714738,-0.1942528735632184,1,2003,1120,1448
-0.17999999999999994,-3,-9,0.07428122729578979,-0.00026820554744844127,-0.031333775023720895,-0.036088673901988444,0.026896944248700927,-0.011123919118002201,0.04751643394237437,-0.07332420002236328,0.011451705720157579,7.322678980958841e-07,0.020887208788325395,0.1597701149425288,0,2003,1120,1386
-0.48,-8,-29,0.050955951455315174,-0.009123745787276039,-0.022004190994482364,0.05981721072581858,0.10590033394760257,0.018697946173773072,0.10264949687034397,0.005542710583413379,0.005857772121215937,0.039610752149386586,0.10266773842714738,0.1942528735632184,0,2003,1120,1448
0.41999999999999993,7,11,-0.05082982700092731,0.040777918805175895,-0.046704189468314616,-0.10587473598655373,0.009050458702123287,-0.015182258237000534,0.09319376013169833,0.10222015134191176,0.0049977652621485125,-0.032061525619469844,0.048284054191941705,0.12758620689655176,1,2003,1139,1280
